time_s,T_r,T_jin,T_jout,T_amb,flow_kg_s,Q_calib_W
295.0,20.5482,20.2641,20.4540,21.00,0.0150,0.00
300.0,20.5009,20.2778,20.4474,21.00,0.0150,0.00
305.0,20.5335,20.2634,20.4525,21.00,0.0150,0.00
310.0,20.5491,20.2488,20.4462,21.00,0.0150,0.00
315.0,20.5632,20.2452,20.4546,21.00,0.0150,0.00
320.0,20.5714,20.2368,20.4623,21.00,0.0150,0.00
325.0,20.5788,20.2278,20.4762,21.00,0.0150,0.00
330.0,20.5617,20.2121,20.4876,21.00,0.0150,0.00
335.0,20.5652,20.2143,20.4588,21.00,0.0150,0.00
340.0,20.5974,20.2009,20.4787,21.00,0.0150,0.00
345.0,20.5822,20.1882,20.4665,21.00,0.0150,0.00
350.0,20.5663,20.1979,20.4836,21.00,0.0150,0.00
355.0,20.5750,20.1886,20.4796,21.00,0.0150,0.00
360.0,20.5851,20.1585,20.4645,21.00,0.0150,0.00
365.0,20.6193,20.1665,20.4939,21.00,0.0150,0.00
370.0,20.6181,20.1689,20.4804,21.00,0.0150,0.00
375.0,20.6350,20.1606,20.4830,21.00,0.0150,0.00
380.0,20.6186,20.1511,20.4793,21.00,0.0150,0.00
385.0,20.6363,20.1319,20.4852,21.00,0.0150,0.00
390.0,20.6516,20.1136,20.4977,21.00,0.0150,0.00
395.0,20.6389,20.1015,20.4932,21.00,0.0150,0.00
400.0,20.6602,20.1061,20.5000,21.00,0.0150,0.00
405.0,20.6439,20.0965,20.5019,21.00,0.0150,0.00
410.0,20.6559,20.0956,20.5131,21.00,0.0150,0.00
415.0,20.6615,20.0836,20.4980,21.00,0.0150,0.00
420.0,20.6513,20.0611,20.4882,21.00,0.0150,0.00
425.0,20.6910,20.0397,20.5151,21.00,0.0150,0.00
430.0,20.6779,20.0386,20.5026,21.00,0.0150,0.00
435.0,20.6936,20.0335,20.5186,21.00,0.0150,0.00
440.0,20.7090,20.0189,20.5127,21.00,0.0150,0.00
445.0,20.7143,20.0047,20.5090,21.00,0.0150,0.00
450.0,20.7246,20.0025,20.5152,21.00,0.0150,0.00
455.0,20.7153,19.9845,20.5326,21.00,0.0150,0.00
460.0,20.7147,19.9728,20.5352,21.00,0.0150,0.00
465.0,20.7274,19.9718,20.5165,21.00,0.0150,0.00
470.0,20.7011,19.9542,20.5187,21.00,0.0150,0.00
475.0,20.7117,19.9503,20.5291,21.00,0.0150,0.00
480.0,20.7198,19.9404,20.5112,21.00,0.0150,0.00
485.0,20.7320,19.9160,20.5242,21.00,0.0150,0.00
490.0,20.7654,19.9125,20.5218,21.00,0.0150,0.00
495.0,20.7448,19.9217,20.5263,21.00,0.0150,0.00
500.0,20.7606,19.8858,20.5160,21.00,0.0150,0.00
505.0,20.7994,19.8665,20.5095,21.00,0.0150,0.00
510.0,20.7714,19.8594,20.5057,21.00,0.0150,0.00
515.0,20.7982,19.8688,20.5162,21.00,0.0150,0.00
520.0,20.7696,19.8595,20.5237,21.00,0.0150,0.00
525.0,20.7889,19.8488,20.5262,21.00,0.0150,0.00
530.0,20.7785,19.8532,20.5493,21.00,0.0150,0.00
535.0,20.7950,19.8055,20.5417,21.00,0.0150,0.00
540.0,20.8228,19.8276,20.5217,21.00,0.0150,0.00
545.0,20.7754,19.8309,20.5354,21.00,0.0150,0.00
550.0,20.8224,19.7959,20.5283,21.00,0.0150,0.00
555.0,20.8220,19.7955,20.5300,21.00,0.0150,0.00
560.0,20.8087,19.7841,20.5350,21.00,0.0150,0.00
565.0,20.7947,19.7753,20.5396,21.00,0.0150,0.00
570.0,20.8279,19.7738,20.5301,21.00,0.0150,0.00
575.0,20.8185,19.7845,20.5442,21.00,0.0150,0.00
580.0,20.8361,19.7820,20.5221,21.00,0.0150,0.00
585.0,20.8339,19.7539,20.5334,21.00,0.0150,0.00
590.0,20.8673,19.7703,20.5590,21.00,0.0150,0.00
595.0,20.8320,19.7459,20.5348,21.00,0.0150,0.00
600.0,20.8175,19.7577,20.5464,21.00,0.0150,0.00
605.0,20.8425,19.7342,20.5323,21.00,0.0150,0.00
610.0,20.8440,19.7317,20.5364,21.00,0.0150,0.00
615.0,20.8671,19.7296,20.5291,21.00,0.0150,0.00
620.0,20.8566,19.7536,20.5270,21.00,0.0150,0.00
625.0,20.8467,19.7266,20.5197,21.00,0.0150,0.00
630.0,20.8682,19.7076,20.5305,21.00,0.0150,0.00
635.0,20.8142,19.7213,20.5162,21.00,0.0150,0.00
640.0,20.8239,19.7053,20.5298,21.00,0.0150,0.00
645.0,20.8166,19.7017,20.5323,21.00,0.0150,0.00
650.0,20.8254,19.7136,20.5233,21.00,0.0150,0.00
655.0,20.8034,19.7032,20.5148,21.00,0.0150,0.00
660.0,20.8411,19.7044,20.5201,21.00,0.0150,0.00
665.0,20.8211,19.7009,20.5103,21.00,0.0150,0.00
670.0,20.7929,19.7035,20.5203,21.00,0.0150,0.00
675.0,20.7985,19.7042,20.4902,21.00,0.0150,0.00
680.0,20.8213,19.6808,20.5025,21.00,0.0150,0.00
685.0,20.8277,19.7074,20.4833,21.00,0.0150,0.00
690.0,20.8465,19.6918,20.4854,21.00,0.0150,0.00
695.0,20.8601,19.6885,20.5110,21.00,0.0150,0.00
700.0,20.8052,19.7040,20.5033,21.00,0.0150,0.00
705.0,20.7719,19.7074,20.4840,21.00,0.0150,0.00
710.0,20.7435,19.7020,20.4730,21.00,0.0150,0.00
715.0,20.7858,19.7199,20.4550,21.00,0.0150,0.00
720.0,20.7582,19.7013,20.4758,21.00,0.0150,0.00
725.0,20.7599,19.7140,20.5020,21.00,0.0150,0.00
730.0,20.7496,19.7160,20.4786,21.00,0.0150,0.00
735.0,20.7524,19.7255,20.4650,21.00,0.0150,0.00
740.0,20.7697,19.7332,20.4716,21.00,0.0150,0.00
745.0,20.7445,19.7250,20.4477,21.00,0.0150,0.00
750.0,20.7310,19.7474,20.4566,21.00,0.0150,0.00
755.0,20.7061,19.7462,20.4568,21.00,0.0150,0.00
760.0,20.6859,19.7324,20.4512,21.00,0.0150,0.00
765.0,20.7021,19.7377,20.4561,21.00,0.0150,0.00
770.0,20.7031,19.7635,20.4479,21.00,0.0150,0.00
775.0,20.7317,19.7680,20.4474,21.00,0.0150,0.00
780.0,20.6911,19.7760,20.4300,21.00,0.0150,0.00
785.0,20.7002,19.7839,20.4422,21.00,0.0150,0.00
790.0,20.6626,19.7939,20.4458,21.00,0.0150,0.00
795.0,20.6409,19.8087,20.4161,21.00,0.0150,0.00
800.0,20.6373,19.7961,20.4133,21.00,0.0150,0.00
805.0,20.6341,19.8036,20.4320,21.00,0.0150,0.00
810.0,20.6832,19.8127,20.4133,21.00,0.0150,0.00
815.0,20.6162,19.8351,20.4258,21.00,0.0150,0.00
820.0,20.6415,19.8535,20.4040,21.00,0.0150,0.00
825.0,20.5988,19.8457,20.4197,21.00,0.0150,0.00
830.0,20.6277,19.8341,20.4034,21.00,0.0150,0.00
835.0,20.6091,19.8514,20.4016,21.00,0.0150,0.00
840.0,20.5906,19.8696,20.4118,21.00,0.0150,0.00
845.0,20.5855,19.8820,20.3897,21.00,0.0150,0.00
850.0,20.5658,19.8933,20.3812,21.00,0.0150,0.00
855.0,20.5806,19.9077,20.3836,21.00,0.0150,0.00
860.0,20.5555,19.9142,20.3902,21.00,0.0150,0.00
865.0,20.5332,19.9379,20.3677,21.00,0.0150,0.00
870.0,20.5254,19.9309,20.3876,21.00,0.0150,0.00
875.0,20.5478,19.9393,20.3739,21.00,0.0150,0.00
880.0,20.5695,19.9630,20.3889,21.00,0.0150,0.00
885.0,20.5349,19.9533,20.3518,21.00,0.0150,0.00
890.0,20.5234,19.9830,20.3663,21.00,0.0150,0.00
895.0,20.5257,19.9906,20.3560,21.00,0.0150,0.00
900.0,20.5405,19.9985,20.3634,21.00,0.0150,0.00
905.0,20.5134,20.0264,20.3730,21.00,0.0150,0.00
910.0,20.4957,20.0147,20.3679,21.00,0.0150,0.00
915.0,20.5211,20.0520,20.3664,21.00,0.0150,0.00
920.0,20.5029,20.0395,20.3667,21.00,0.0150,0.00
925.0,20.5206,20.0393,20.3699,21.00,0.0150,0.00
930.0,20.4893,20.0631,20.3575,21.00,0.0150,0.00
935.0,20.4572,20.0618,20.3745,21.00,0.0150,0.00
940.0,20.4506,20.0752,20.3741,21.00,0.0150,0.00
945.0,20.5075,20.0967,20.3715,21.00,0.0150,0.00
950.0,20.5056,20.1082,20.3735,21.00,0.0150,0.00
955.0,20.4645,20.1062,20.3714,21.00,0.0150,0.00
960.0,20.4577,20.1319,20.3893,21.00,0.0150,0.00
965.0,20.4920,20.1431,20.3688,21.00,0.0150,0.00
970.0,20.4383,20.1552,20.3674,21.00,0.0150,0.00
975.0,20.4404,20.1553,20.3639,21.00,0.0150,0.00
980.0,20.4692,20.1726,20.3622,21.00,0.0150,0.00
985.0,20.4468,20.1489,20.3612,21.00,0.0150,0.00
990.0,20.4530,20.1732,20.3660,21.00,0.0150,0.00
995.0,20.4486,20.1760,20.3755,21.00,0.0150,0.00
1000.0,20.4575,20.1940,20.3810,21.00,0.0150,0.00
1005.0,20.4779,20.1950,20.3796,21.00,0.0150,0.00
1010.0,20.4508,20.2067,20.3730,21.00,0.0150,0.00
1015.0,20.4613,20.2346,20.3912,21.00,0.0150,0.00
1020.0,20.4070,20.2212,20.3913,21.00,0.0150,0.00
1025.0,20.4467,20.2340,20.3840,21.00,0.0150,0.00
1030.0,20.4307,20.2341,20.3808,21.00,0.0150,0.00
1035.0,20.4232,20.2435,20.3945,21.00,0.0150,0.00
1040.0,20.4301,20.2488,20.3926,21.00,0.0150,0.00
1045.0,20.4412,20.2589,20.3780,21.00,0.0150,0.00
1050.0,20.4665,20.2715,20.3936,21.00,0.0150,0.00
1055.0,20.4221,20.2814,20.3986,21.00,0.0150,0.00
1060.0,20.4497,20.2727,20.3887,21.00,0.0150,0.00
1065.0,20.4399,20.2800,20.4012,21.00,0.0150,0.00
1070.0,20.4437,20.2666,20.3864,21.00,0.0150,0.00
1075.0,20.4710,20.2810,20.4159,21.00,0.0150,0.00
1080.0,20.4624,20.2947,20.4165,21.00,0.0150,0.00
1085.0,20.4791,20.2970,20.4030,21.00,0.0150,0.00
1090.0,20.4500,20.2932,20.4105,21.00,0.0150,0.00
1095.0,20.4399,20.3023,20.3840,21.00,0.0150,0.00
1100.0,20.4501,20.3003,20.3977,21.00,0.0150,0.00
1105.0,20.4601,20.3091,20.4074,21.00,0.0150,0.00
1110.0,20.4595,20.3013,20.4006,21.00,0.0150,0.00
1115.0,20.4350,20.2957,20.4193,21.00,0.0150,0.00
1120.0,20.4591,20.3032,20.4328,21.00,0.0150,0.00
1125.0,20.4624,20.2707,20.4016,21.00,0.0150,0.00
1130.0,20.5087,20.3036,20.4054,21.00,0.0150,0.00
1135.0,20.4963,20.2628,20.4164,21.00,0.0150,0.00
1140.0,20.4420,20.2811,20.4303,21.00,0.0150,0.00
1145.0,20.4536,20.3016,20.4019,21.00,0.0150,0.00
1150.0,20.4302,20.3002,20.4164,21.00,0.0150,0.00
1155.0,20.4477,20.2818,20.4317,21.00,0.0150,0.00
1160.0,20.4658,20.2840,20.3964,21.00,0.0150,0.00
1165.0,20.4834,20.3021,20.3994,21.00,0.0150,0.00
1170.0,20.4443,20.2805,20.4070,21.00,0.0150,0.00
1175.0,20.4454,20.3043,20.4049,21.00,0.0150,0.00
1180.0,20.4149,20.2781,20.4169,21.00,0.0150,0.00
1185.0,20.4538,20.2781,20.4096,21.00,0.0150,0.00
1190.0,20.4349,20.2858,20.3877,21.00,0.0150,0.00
1195.0,20.4444,20.2662,20.4086,21.00,0.0150,0.00
1200.0,20.4362,20.2498,20.3955,21.00,0.0150,0.00
1205.0,20.4505,20.2533,20.4117,21.00,0.0150,0.00
1210.0,20.4156,20.2484,20.3901,21.00,0.0150,0.00
1215.0,20.4196,20.2291,20.3872,21.00,0.0150,0.00
1220.0,20.4895,20.2338,20.3959,21.00,0.0150,0.00
1225.0,20.4190,20.2224,20.3949,21.00,0.0150,0.00
1230.0,20.4205,20.2322,20.3883,21.00,0.0150,0.00
1235.0,20.4766,20.2161,20.3633,21.00,0.0150,0.00
1240.0,20.4952,20.2056,20.3816,21.00,0.0150,0.00
1245.0,20.4107,20.1997,20.3618,21.00,0.0150,0.00
1250.0,20.4236,20.1951,20.3702,21.00,0.0150,0.00
1255.0,20.4345,20.1909,20.3491,21.00,0.0150,0.00
1260.0,20.4587,20.1663,20.3630,21.00,0.0150,0.00
1265.0,20.4006,20.1573,20.3456,21.00,0.0150,0.00
1270.0,20.4115,20.1700,20.3357,21.00,0.0150,0.00
1275.0,20.4278,20.1459,20.3503,21.00,0.0150,0.00
1280.0,20.4167,20.1267,20.3400,21.00,0.0150,0.00
1285.0,20.3959,20.1359,20.3258,21.00,0.0150,0.00
1290.0,20.3960,20.1267,20.3405,21.00,0.0150,0.00
1295.0,20.3663,20.0971,20.3155,21.00,0.0150,0.00
1300.0,20.3839,20.1049,20.3139,21.00,0.0150,0.00
1305.0,20.3781,20.1001,20.3098,21.00,0.0150,0.00
1310.0,20.3826,20.0864,20.2943,21.00,0.0150,0.00
1315.0,20.3612,20.0789,20.2985,21.00,0.0150,0.00
1320.0,20.3759,20.0483,20.2815,21.00,0.0150,0.00
1325.0,20.3807,20.0554,20.2756,21.00,0.0150,0.00
1330.0,20.3574,20.0387,20.2861,21.00,0.0150,0.00
1335.0,20.3550,20.0265,20.2548,21.00,0.0150,0.00
1340.0,20.3426,20.0296,20.2336,21.00,0.0150,0.00
1345.0,20.3349,20.0253,20.2662,21.00,0.0150,0.00
1350.0,20.3137,20.0179,20.2679,21.00,0.0150,0.00
1355.0,20.3275,20.0027,20.2305,21.00,0.0150,0.00
1360.0,20.3122,19.9780,20.2073,21.00,0.0150,0.00
1365.0,20.3489,19.9722,20.2155,21.00,0.0150,0.00
1370.0,20.3312,19.9659,20.2077,21.00,0.0150,0.00
1375.0,20.3001,19.9491,20.2005,21.00,0.0150,0.00
1380.0,20.2696,19.9389,20.1830,21.00,0.0150,0.00
1385.0,20.2551,19.9357,20.1917,21.00,0.0150,0.00
1390.0,20.2935,19.9167,20.1828,21.00,0.0150,0.00
1395.0,20.2672,19.9000,20.1543,21.00,0.0150,0.00
1400.0,20.2637,19.8932,20.1678,21.00,0.0150,0.00
1405.0,20.2113,19.8940,20.1730,21.00,0.0150,0.00
1410.0,20.2568,19.8780,20.1457,21.00,0.0150,0.00
1415.0,20.2394,19.8719,20.1322,21.00,0.0150,0.00
1420.0,20.2001,19.8659,20.1258,21.00,0.0150,0.00
1425.0,20.2048,19.8463,20.1250,21.00,0.0150,0.00
1430.0,20.2115,19.8486,20.0932,21.00,0.0150,0.00
1435.0,20.1991,19.8360,20.1038,21.00,0.0150,0.00
1440.0,20.1842,19.8113,20.0900,21.00,0.0150,0.00
1445.0,20.1799,19.8297,20.1042,21.00,0.0150,0.00
1450.0,20.1688,19.8022,20.0759,21.00,0.0150,0.00
1455.0,20.1689,19.7827,20.0862,21.00,0.0150,0.00
1460.0,20.1873,19.7812,20.0505,21.00,0.0150,0.00
1465.0,20.0986,19.7740,20.0596,21.00,0.0150,0.00
1470.0,20.1372,19.7776,20.0491,21.00,0.0150,0.00
1475.0,20.1377,19.7674,20.0296,21.00,0.0150,0.00
1480.0,20.1323,19.7602,20.0325,21.00,0.0150,0.00
1485.0,20.1112,19.7635,20.0354,21.00,0.0150,0.00
1490.0,20.0759,19.7547,20.0128,21.00,0.0150,0.00
1495.0,20.1101,19.7487,19.9920,21.00,0.0150,0.00
1500.0,20.1306,19.7443,20.0017,21.00,0.0150,0.00
1505.0,20.0581,19.7413,19.9861,21.00,0.0150,0.00
1510.0,20.0989,19.7093,19.9851,21.00,0.0150,0.00
1515.0,20.0680,19.7223,19.9812,21.00,0.0150,0.00
1520.0,20.0664,19.7000,19.9587,21.00,0.0150,0.00
1525.0,20.0398,19.7185,19.9535,21.00,0.0150,0.00
1530.0,20.0476,19.7146,19.9686,21.00,0.0150,0.00
1535.0,20.0738,19.7221,19.9529,21.00,0.0150,0.00
1540.0,20.0532,19.7208,19.9270,21.00,0.0150,0.00
1545.0,20.0700,19.7086,19.9553,21.00,0.0150,0.00
1550.0,20.0530,19.6996,19.9451,21.00,0.0150,0.00
1555.0,20.0325,19.7078,19.9305,21.00,0.0150,0.00
1560.0,20.0530,19.6964,19.9199,21.00,0.0150,0.00
1565.0,20.0216,19.7007,19.9372,21.00,0.0150,0.00
1570.0,20.0242,19.7100,19.9283,21.00,0.0150,0.00
1575.0,19.9968,19.6944,19.9448,21.00,0.0150,0.00
1580.0,19.9994,19.7082,19.9217,21.00,0.0150,0.00
1585.0,19.9796,19.7075,19.9181,21.00,0.0150,0.00
1590.0,20.0091,19.6921,19.9095,21.00,0.0150,0.00
1595.0,19.9618,19.7127,19.9166,21.00,0.0150,0.00
1600.0,19.9972,19.7115,19.9122,21.00,0.0150,0.00
1605.0,19.9742,19.7076,19.9163,21.00,0.0150,0.00
1610.0,19.9982,19.7013,19.8967,21.00,0.0150,0.00
1615.0,19.9868,19.7030,19.8959,21.00,0.0150,0.00
1620.0,20.0054,19.7093,19.8941,21.00,0.0150,0.00
1625.0,19.9811,19.7235,19.9057,21.00,0.0150,0.00
1630.0,19.9328,19.7123,19.9120,21.00,0.0150,0.00
1635.0,19.9609,19.7303,19.8920,21.00,0.0150,0.00
1640.0,19.9371,19.7179,19.8921,21.00,0.0150,0.00
1645.0,19.9488,19.7331,19.8995,21.00,0.0150,0.00
1650.0,19.9882,19.7413,19.8943,21.00,0.0150,0.00
1655.0,19.9698,19.7700,19.9069,21.00,0.0150,0.00
1660.0,19.9425,19.7375,19.8758,21.00,0.0150,0.00
1665.0,19.9358,19.7720,19.8913,21.00,0.0150,0.00
1670.0,19.9567,19.7651,19.8932,21.00,0.0150,0.00
1675.0,19.9319,19.7743,19.8796,21.00,0.0150,0.00
1680.0,19.9433,19.7782,19.8952,21.00,0.0150,0.00
1685.0,19.9637,19.7886,19.8981,21.00,0.0150,0.00
1690.0,19.9816,19.7901,19.9078,21.00,0.0150,0.00
1695.0,19.9719,19.8138,19.9238,21.00,0.0150,0.00
1700.0,19.9155,19.8026,19.9134,21.00,0.0150,0.00
1705.0,19.9692,19.8266,19.9089,21.00,0.0150,0.00
1710.0,19.9667,19.8172,19.9223,21.00,0.0150,0.00
1715.0,19.9759,19.8316,19.9372,21.00,0.0150,0.00
1720.0,20.0025,19.8303,19.9211,21.00,0.0150,0.00
1725.0,19.9318,19.8546,19.9262,21.00,0.0150,0.00
1730.0,19.9644,19.8736,19.9455,21.00,0.0150,0.00
1735.0,19.9914,19.8677,19.9426,21.00,0.0150,0.00
1740.0,19.9516,19.8760,19.9564,21.00,0.0150,0.00
1745.0,20.0166,19.8765,19.9551,21.00,0.0150,0.00
1750.0,19.9985,19.8951,19.9677,21.00,0.0150,0.00
1755.0,20.0124,19.8914,19.9561,21.00,0.0150,0.00
1760.0,19.9886,19.9082,19.9722,21.00,0.0150,0.00
1765.0,20.0211,19.9297,19.9764,21.00,0.0150,0.00
1770.0,20.0311,19.9508,19.9726,21.00,0.0150,0.00
1775.0,20.0196,19.9760,19.9756,21.00,0.0150,0.00
1780.0,20.0250,19.9524,20.0048,21.00,0.0150,0.00
1785.0,20.0313,19.9830,20.0012,21.00,0.0150,0.00
1790.0,20.0144,19.9815,20.0015,21.00,0.0150,0.00
1795.0,20.0347,19.9880,20.0178,21.00,0.0150,0.00
1800.0,20.0407,20.0043,20.0373,21.00,0.0150,0.00
